unique(temp$sendID) recParty
C00235853 DEM
C00236034 REP
C00236414 REP
C00236596 REP
C00236760 DEM
C00236778 REP
C00237065 REP
C00238204 DEM
C00238444 DEM
C00238725 DEM
C00239038 DEM
C00239848 REP
C00239939 DEM
C00239947 REP
C00240069 REP
C00240218 REP
C00240911 REP
C00241349 DEM
C00241380 DEM
C00241851 REP
C00242040 REP
C00242271 REP
C00244863 REP
C00245530 REP
C00245548 DEM
C00246421 DEM
C00247403 DEM
C00247569 REP
C00247981 REP
C00248047 DEM
C00248195 REP
C00248716 REP
C00248849 REP
C00249342 REP
C00249532 REP
C00250027 REP
C00250068 REP
C00250209 REP
C00250399 REP
C00250753 DEM
C00251009 DEM
C00251876 REP
C00252338 REP
C00252684 REP
C00252940 DEM
C00253153 REP
C00253369 REP
C00253468 REP
C00254201 REP
C00254656 REP
C00254953 REP
C00255216 REP
C00255224 DEM
C00255562 DEM
C00255752 REP
C00255877 REP
C00257329 REP
C00259572 DEM
C00260141 DEM
C00261339 REP
C00262295 REP
C00263723 DEM
C00264101 DEM
C00266585 DEM
C00267849 DEM
C00270041 DEM
C00270421 DEM
C00271007 REP
C00271338 DEM
C00273003 DEM
C00274431 DEM
C00274944 REP
C00275123 REP
C00275909 DEM
C00278895 DEM
C00279216 DEM
C00279380 DEM
C00279455 REP
C00279497 REP
C00279828 REP
C00280008 DEM
C00280156 REP
C00280222 REP
C00280909 DEM
C00281162 REP
C00281212 REP
C00281717 DEM
C00282038 DEM
C00282566 DEM
C00282921 DEM
C00283135 REP
C00283432 DEM
C00283440 REP
C00284810 REP
C00284885 REP
C00286807 DEM
C00287003 REP
C00287714 DEM
C00287904 DEM
C00289165 DEM
C00290098 DEM
C00290973 REP
C00291799 REP
C00292094 REP
C00292136 REP
C00292318 REP
C00293902 DEM
C00293910 REP
C00295097 REP
C00296822 REP
C00297085 DEM
C00297184 DEM
C00297739 DEM
C00297853 REP
C00298190 REP
C00298356 REP
C00299321 REP
C00300418 REP
C00300525 DEM
C00300707 REP
C00301192 DEM
C00301424 DEM
C00301929 REP
C00302166 REP
C00302232 DEM
C00302844 DEM
C00302943 DEM
C00303024 REP
C00303339 REP
C00303818 DEM
C00304477 REP
C00304832 DEM
C00305029 REP
C00305979 DEM
C00306175 REP
C00306449 REP
C00306894 REP
C00307249 REP
C00307397 DEM
C00308387 DEM
C00309781 DEM
C00311142 REP
C00311878 REP
C00311944 DEM
C00312777 DEM
C00313700 REP
C00314054 REP
C00314617 DEM
C00316331 DEM
C00318196 DEM
C00318311 DEM
C00320101 REP
C00320143 DEM
C00320580 DEM
C00321406 REP
C00323048 DEM
C00323311 DEM
C00323758 DEM
C00324483 REP
C00325092 REP
C00325126 DEM
C00325324 REP
C00325332 REP
C00325811 DEM
C00325936 REP
C00326363 DEM
C00326389 DEM
C00326595 REP
C00327155 REP
C00327395 DEM
C00328369 REP
C00330019 REP
C00330290 DEM
C00330647 REP
C00331173 REP
C00331439 DEM
C00331454 DEM
C00331462 DEM
C00331694 DEM
C00331835 REP
C00332395 DEM
C00332643 REP
C00332833 DEM
C00333104 DEM
C00333534 DEM
C00333658 DEM
C00333666 REP
C00335091 REP
C00336040 DEM
C00336743 REP
C00337113 DEM
C00337626 REP
C00338020 DEM
C00338087 REP
C00338335 REP
C00338442 REP
C00338558 DEM
C00339085 DEM
C00339291 REP
C00339499 REP
C00339655 REP
C00340075 REP
C00340224 DEM
C00340356 REP
C00340364 DEM
C00340943 REP
C00341016 DEM
C00341396 DEM
C00341602 REP
C00341800 REP
C00342048 DEM
C00342113 DEM
C00342238 DEM
C00342246 REP
C00342394 DEM
C00342907 DEM
C00342972 DEM
C00343137 REP
C00343392 REP
C00343459 REP
C00343590 DEM
C00343707 DEM
C00343749 DEM
C00344234 DEM
C00344325 DEM
C00344671 DEM
C00344754 REP
C00344770 DEM
C00344788 DEM
C00344945 REP
C00345173 DEM
C00345306 DEM
C00345603 REP
C00345793 REP
C00345868 DEM
C00346130 DEM
C00346288 REP
C00346346 DEM
C00346353 REP
C00347195 DEM
C00347310 REP
C00347385 REP
C00347955 REP
C00348243 REP
C00348607 DEM
C00348938 REP
C00349225 REP
C00349373 REP
C00349506 DEM
C00349746 REP
C00350108 REP
C00350744 REP
C00350884 REP
C00351031 DEM
C00351205 DEM
C00351270 REP
C00353037 DEM
C00353797 REP
C00354290 REP
C00355677 REP
C00355719 REP
C00355818 DEM
C00357129 REP
C00357863 REP
C00358234 DEM
C00358366 REP
C00358663 REP
C00358812 REP
C00358903 REP
C00359380 REP
C00359539 REP
C00359588 REP
C00359687 REP
C00360008 REP
C00360354 REP
C00360669 REP
C00361758 REP
C00361949 REP
C00362210 DEM
C00362384 DEM
C00362624 DEM
C00362640 DEM
C00362707 DEM
C00363648 DEM
C00363812 DEM
C00363853 DEM
C00363879 REP
C00363945 REP
C00364109 REP
C00364133 DEM
C00364158 DEM
C00364455 REP
C00364471 REP
C00364778 REP
C00365031 DEM
C00365072 REP
C00365098 DEM
C00365122 REP
C00365254 DEM
C00365270 DEM
C00365296 DEM
C00365502 REP
C00365536 DEM
C00365965 REP
C00366013 REP
C00366070 REP
C00366559 DEM
C00367177 REP
C00367375 DEM
C00367920 REP
C00367995 REP
C00368142 REP
C00368332 DEM
C00368720 DEM
C00368902 DEM
C00368993 DEM
C00369090 REP
C00369660 DEM
C00370007 DEM
C00370015 REP
C00370114 REP
C00370122 DEM
C00370130 REP
C00370569 DEM
